id,Titulo,Categoria,Descripcion,Numero plazas,Latitud,Longitud
1,"Calle Albareda, 43",Taxis,Parada de Taxis de 8 plazas,8,28.144717,-15.430275
2,"Calle Faro 1,3,5,7",Taxis,Parada de Taxi de 7 vehículos,7,28.14853032247063,-15.43012771191593
3,"Calle Profesor Lozano,14",Taxis,Parada de Taxi de 7 vehículos,7,28.156192576081004,-15.417723836326559
4,"Calle Alfredo L.Jones 31,33,35",Taxis,Parada de Taxi de 6 vehículos,6,28.1421092155082,-15.432856859588583
5,"Calle Tomás Miller, 85",Taxis,Parada de Taxi de 4 vehículos,4,28.14165511160173,-15.433827819251974
6,"Calle José Franchy Roca, 18-20-22",Taxis,Parada de Taxi de 7 plazas,7,28.13885121385311,-15.432907821559866
7,"Calle José Franchy Roca, 18-20-22",Taxis,Parada de Taxi de 7 plazas,7,28.13885121385311,-15.432907821559866
8,"Calle del General Vives, 14",Taxis,Parada de Taxi de 7 plazas,7,28.135344760173602,-15.43104636850353
9,"Avenida José Mesa y López, 13",Taxis,Parada de Taxis de 24 plazas,24,28.1346233507481,-15.431478204154928
10,"Avenida José Mesa y López, 41",Taxis,Parada de taxis de 11 plazas,11,28.133303513719415,-15.43635043683048
11,"Avenida José Mesa y López, 59",Taxis,Parada de Taxi de 3 plazas,3,28.13198602577712,-15.437875272655447
12,"Calle Fernando Guanarteme, 3-5",Taxis,Parada de Taxi de 3 plazas,3,28.139280495237994,-15.432695927047689
13,"Portugal,68",Taxis,Parada de Taxi de 4 plazas,4,28.135895866396485,-15.438641043329199
14,"Calle República Dominicana, 8",Taxis,Parada de Taxi de 4 plazas,4,28.13331060966095,-15.438360752487142
15,Calle Industrial José Sánchez Peñate (frente a C.C. Las Arenas),Taxis,Parada de Taxi de 14 plazas,14,28.12882824637172,-15.44776725950237
16,"Calle León y Castillo, 270",Taxis,Parada de Taxi de 3 plazas,3,28.12499384383078,-15.428753079795797
17,Calle Doctor Juan Carlos Marino Fiol (Hotel Santa Catalina),Taxis,Parada de Taxis de 4 plazas,4,28.121114358058534,-15.427513899230917
18,"Calle Luis Doreste Silva, 46",Taxis,Parada de Taxi de 19 plazas,19,28.118315836955926,-15.423157991790731
19,"Calle Pintor Juan Guillermo, 8",Taxis,Parada de Taxi de 7 plazas,7,28.12620024066567,-15.438291015052755
20,"Calle Granadera Canaria ,1",Taxis,Parada de Taxi de 5 plazas,5,28.096394716435054,-15.412666531228979
21,"Calle Málaga, 3",Taxis,Parada de Taxi de 8 plazas,8,28.092688112726467,-15.414684893512685
22,"Avenida Eufemiano Jurado, 1 (Nuevos Juzgados)",Taxis,Parada de Taxi de 7 plazas,7,28.09502590258705,-15.413681747341116
23,"Calle Munguía,1",Taxis,Parada de Taxi de 8 plazas,8,28.106380495533518,-15.415360810184438
24,"Calle Malteses, 1",Taxis,Parada de Taxi de 5 plazas,5,28.103938393408672,-15.415482488612042
25,"Calle General Bravo, 1",Taxis,Parada de Taxi de 6 plazas,6,28.102673875418677,-15.416463366952598
26,"Calle General Bravo, 1",Taxis,Parada de Taxi de 6 plazas,6,28.102673875418677,-15.416463366952598
27,"Calle Miguel de Cervantes, 6 frente",Taxis,Parada de Taxi de 6 plazas,6,28.104314848084083,-15.414316803212955
